agency_name,county,type,families_served_monthly,monthly_allocation_lbs
Grace Fellowship Church,Harlan,Church Pantry,126,4813
Harlan Community Kitchen,Harlan,School Program,255,10145
First Baptist Pantry,Harlan,Church Pantry,314,13631
Lincoln HS Backpack Program,Harlan,Church Pantry,114,4870
St Paul Food Shelf,Harlan,Church Pantry,49,1898
Harlan Senior Center,Harlan,Community Kitchen,74,3168
Riverside Methodist Pantry,Harlan,School Program,116,5072
Oak Street Shelter,Harlan,Community Kitchen,134,5541
Northgate Church Pantry,Harlan,Community Kitchen,102,4103
Harlan YMCA Pantry,Harlan,School Program,45,1961
Crossroads Mission,Harlan,Shelter,88,3453
Valley View Pantry,Harlan,Church Pantry,88,3409
Trinity Lutheran Pantry,Harlan,Shelter,57,2552
Harlan Head Start,Harlan,Shelter,122,5423
Bethel AME Food Ministry,Harlan,Senior Center,138,5835
Westside Community Center,Harlan,Church Pantry,93,3944
Hope House Shelter,Harlan,Community Kitchen,125,5635
Cedar Park Pantry,Harlan,Community Kitchen,91,3597
Harlan Free Clinic Pantry,Harlan,Church Pantry,53,2294
Unity Church Pantry,Harlan,Church Pantry,82,3677
Riverbend Elementary Backpack,Price,Senior Center,52,1987
Price County Senior Meals,Price,Shelter,121,4513
Good Shepherd Pantry,Price,School Program,85,3515
Price Community Action,Price,Church Pantry,309,12629
Mt Zion Food Pantry,Price,Community Kitchen,61,2551
Lakeside Church Pantry,Price,Senior Center,60,2342
Price Head Start,Price,Community Kitchen,338,12761
Cornerstone Shelter,Price,Church Pantry,81,3064
Faith Temple Pantry,Price,Shelter,44,1725
Price YMCA Pantry,Price,School Program,48,2078
Emmanuel Food Ministry,Price,Shelter,112,4222
Hilltop Pantry,Price,Senior Center,103,4436
Price Free Store,Price,Senior Center,122,4531
St Andrew Pantry,Price,School Program,57,2391
Maplewood School Pantry,Price,Shelter,108,4533
Price Rescue Mission,Price,Community Kitchen,94,3684
Ellis Senior Center,Ellis,School Program,248,6962
New Hope Shelter,Ellis,Church Pantry,61,1884
Southside Church Pantry,Ellis,School Program,69,2093
Ellis Elementary Backpack,Ellis,Community Kitchen,104,2548
Ellis Community Action,Ellis,Community Kitchen,98,3132
Calvary Pantry,Ellis,Shelter,117,3716
Ellis Head Start,Ellis,Church Pantry,51,1502
Open Door Mission,Ellis,Shelter,118,3557
St James Pantry,Ellis,Church Pantry,93,2450
Ellis Free Clinic Pantry,Ellis,Senior Center,70,1681
Ellis Rescue Mission,Ellis,Shelter,312,9913
